CustomerID,Gender,Age,Country,TenureMonths,ContractType,PaymentMethod,InternetService,HasPhoneService,AddonStreaming,MonthlyCharges,TotalCharges,SupportTicketsLast6M,IsActiveAppUser,SatisfactionScore,Churn,ChurnReason
C0001,Male,45,Germany,69,Month-to-month,Credit card,DSL,Yes,No,44.83,3105.62,1,No,5,0,
C0002,Female,24,Sweden,16,Month-to-month,Bank transfer,Fiber,Yes,Yes,104.5,1695.53,4,Yes,3,0,
C0003,Female,52,Germany,25,Month-to-month,Credit card,DSL,No,No,34.06,869.01,1,No,5,0,
C0004,Female,72,Norway,20,One year,Direct debit,Fiber,Yes,Yes,68.85,1380.56,3,No,4,0,
C0005,Male,45,Finland,71,Two year,Direct debit,Fiber,Yes,Yes,89.12,6315.26,1,No,4,1,Competitor
C0006,Male,31,Sweden,20,Month-to-month,Bank transfer,Fiber,Yes,Yes,88.59,1775.31,3,Yes,4,1,Moving
C0007,Male,73,Finland,120,Month-to-month,Electronic invoice,DSL,Yes,No,56.13,6740.26,2,Yes,5,1,Other
C0008,Female,27,Finland,10,Month-to-month,Electronic invoice,Mobile,Yes,No,31.65,335.93,2,Yes,4,1,Competitor
C0009,Female,33,Norway,37,Two year,Bank transfer,DSL,Yes,No,25.0,879.98,3,Yes,4,0,
C0010,Female,33,Finland,71,One year,Direct debit,Fiber,Yes,Yes,59.95,4227.85,0,Yes,5,0,
C0011,Male,71,Finland,105,Month-to-month,Direct debit,Mobile,Yes,No,47.7,5013.23,2,No,5,0,
C0012,Other,48,Sweden,87,Month-to-month,Electronic invoice,Mobile,Yes,No,56.19,4895.18,1,No,5,1,Competitor
C0013,Female,59,Germany,34,One year,Bank transfer,Fiber,No,Yes,60.77,2048.84,0,Yes,5,0,
C0014,Male,42,Denmark,118,Month-to-month,Bank transfer,DSL,Yes,No,25.74,3044.47,0,Yes,5,0,
C0015,Male,30,Denmark,13,One year,Bank transfer,Fiber,Yes,No,59.76,790.45,1,No,4,0,
C0016,Male,23,Finland,118,Month-to-month,Electronic invoice,DSL,Yes,Yes,54.99,6484.93,1,Yes,5,1,Competitor
C0017,Male,61,Denmark,13,One year,Credit card,DSL,Yes,Yes,54.23,733.58,1,No,4,0,
C0018,Female,26,Denmark,9,Month-to-month,Credit card,Fiber,Yes,Yes,106.41,990.02,2,No,4,1,Competitor
